Country Code,Series Name,2015 [YR2015]
KGZ,Exports of goods and services (% of GDP),35.18960049
KGZ,Trade (% of GDP),110.9615707
KGZ,Merchandise exports (current US$),1441000000
KGZ,Commercial service exports (current US$),846019001
LAO,Imports of goods and services (% of GDP),51.8460644
LAO,Exports of goods and services (% of GDP),33.95225731
LAO,Trade (% of GDP),85.7983217
LAO,Merchandise exports (current US$),3653000000
LAO,Commercial service exports (current US$),842980857.9
LVA,Imports of goods and services (% of GDP),62.02398197
LVA,Exports of goods and services (% of GDP),60.27538277
LVA,Trade (% of GDP),122.2993647
LVA,Merchandise exports (current US$),12286000000
LVA,Commercial service exports (current US$),4810324537
LBN,Imports of goods and services (% of GDP),48.69937491
LBN,Exports of goods and services (% of GDP),23.13966773
LBN,Trade (% of GDP),71.83904263
LBN,Merchandise exports (current US$),3982000000
LBN,Commercial service exports (current US$),15678386839
LSO,Imports of goods and services (% of GDP),86.83096937
LSO,Exports of goods and services (% of GDP),42.89180371
LSO,Trade (% of GDP),129.7227731
LSO,Merchandise exports (current US$),929000000
LSO,Commercial service exports (current US$),42818625.3
LBR,Imports of goods and services (% of GDP),
LBR,Exports of goods and services (% of GDP),
LBR,Trade (% of GDP),
LBR,Merchandise exports (current US$),283000000
LBR,Commercial service exports (current US$),4843256.909
LBY,Imports of goods and services (% of GDP),34.67753321
LBY,Exports of goods and services (% of GDP),22.22737412
LBY,Trade (% of GDP),56.90490733
LBY,Merchandise exports (current US$),11392000000
LBY,Commercial service exports (current US$),483000000
LIE,Imports of goods and services (% of GDP),
LIE,Exports of goods and services (% of GDP),
LIE,Trade (% of GDP),
LIE,Merchandise exports (current US$),
LIE,Commercial service exports (current US$),
LTU,Imports of goods and services (% of GDP),69.77467659
LTU,Exports of goods and services (% of GDP),68.77764073
LTU,Trade (% of GDP),138.5523173
LTU,Merchandise exports (current US$),25392000000
LTU,Commercial service exports (current US$),6619597442
LUX,Imports of goods and services (% of GDP),159.2965253
LUX,Exports of goods and services (% of GDP),191.835449
LUX,Trade (% of GDP),351.1319744
LUX,Merchandise exports (current US$),17139000000
LUX,Commercial service exports (current US$),92752421720
MAC,Imports of goods and services (% of GDP),39.9916043
MAC,Exports of goods and services (% of GDP),78.50673324
MAC,Trade (% of GDP),118.4983375
MAC,Merchandise exports (current US$),1339000000
MAC,Commercial service exports (current US$),33406012301
MDG,Imports of goods and services (% of GDP),32.82973271
MDG,Exports of goods and services (% of GDP),28.39064613
MDG,Trade (% of GDP),61.22037884
MDG,Merchandise exports (current US$),2048000000
MDG,Commercial service exports (current US$),1098968678
MWI,Imports of goods and services (% of GDP),
MWI,Exports of goods and services (% of GDP),
MWI,Trade (% of GDP),
MWI,Merchandise exports (current US$),1072000000
MWI,Commercial service exports (current US$),110243841.4
MYS,Imports of goods and services (% of GDP),61.92138155
MYS,Exports of goods and services (% of GDP),69.4486909
MYS,Trade (% of GDP),131.3700724
MYS,Merchandise exports (current US$),2.00E+11
MYS,Commercial service exports (current US$),34841899761
MDV,Imports of goods and services (% of GDP),
MDV,Exports of goods and services (% of GDP),
MDV,Trade (% of GDP),
MDV,Merchandise exports (current US$),240000000
MDV,Commercial service exports (current US$),2897968823
MLI,Imports of goods and services (% of GDP),39.59593117
MLI,Exports of goods and services (% of GDP),24.04370851
MLI,Trade (% of GDP),63.63963969
MLI,Merchandise exports (current US$),2717000000
MLI,Commercial service exports (current US$),405323272.2
MLT,Imports of goods and services (% of GDP),144.8520026
MLT,Exports of goods and services (% of GDP),154.6181556
MLT,Trade (% of GDP),299.4701582
MLT,Merchandise exports (current US$),2607000000
MLT,Commercial service exports (current US$),13470579324
MHL,Imports of goods and services (% of GDP),94.49376558
MHL,Exports of goods and services (% of GDP),44.35735726
MHL,Trade (% of GDP),138.8511228
MHL,Merchandise exports (current US$),52000000
MHL,Commercial service exports (current US$),6492132.856
MRT,Imports of goods and services (% of GDP),47.15164174
MRT,Exports of goods and services (% of GDP),30.19514476
MRT,Trade (% of GDP),77.34678649
MRT,Merchandise exports (current US$),1832000000
MRT,Commercial service exports (current US$),202499614
MUS,Imports of goods and services (% of GDP),55.64812703
MUS,Exports of goods and services (% of GDP),51.49785241
MUS,Trade (% of GDP),107.1459794
MUS,Merchandise exports (current US$),2662000000
MUS,Commercial service exports (current US$),2698509840
MEX,Imports of goods and services (% of GDP),36.25020199
MEX,Exports of goods and services (% of GDP),34.16277269
MEX,Trade (% of GDP),70.41297468
MEX,Merchandise exports (current US$),3.81E+11
MEX,Commercial service exports (current US$),32586891974
FSM,Imports of goods and services (% of GDP),78.23146963
FSM,Exports of goods and services (% of GDP),27.06500271
FSM,Trade (% of GDP),105.2964723
FSM,Merchandise exports (current US$),40000000
FSM,Commercial service exports (current US$),
MDA,Imports of goods and services (% of GDP),57.15949367
MDA,Exports of goods and services (% of GDP),31.80692179
MDA,Trade (% of GDP),88.96641546
MDA,Merchandise exports (current US$),1967000000
MDA,Commercial service exports (current US$),948630000
MCO,Imports of goods and services (% of GDP),
MCO,Exports of goods and services (% of GDP),
MCO,Trade (% of GDP),
MCO,Merchandise exports (current US$),
MCO,Commercial service exports (current US$),
MNG,Imports of goods and services (% of GDP),45.46961324
MNG,Exports of goods and services (% of GDP),44.18405023
MNG,Trade (% of GDP),89.65366348
MNG,Merchandise exports (current US$),4669000000
MNG,Commercial service exports (current US$),685873511.4
MNE,Imports of goods and services (% of GDP),60.57090523
MNE,Exports of goods and services (% of GDP),42.11807213
MNE,Trade (% of GDP),102.6889774
MNE,Merchandise exports (current US$),352000000
MNE,Commercial service exports (current US$),1347244770
MAR,Imports of goods and services (% of GDP),37.29282204
MAR,Exports of goods and services (% of GDP),29.99585389
MAR,Trade (% of GDP),67.28867593
MAR,Merchandise exports (current US$),22334000000
MAR,Commercial service exports (current US$),14102370267
MOZ,Imports of goods and services (% of GDP),66.18891012
MOZ,Exports of goods and services (% of GDP),32.57229353
MOZ,Trade (% of GDP),98.76120365
MOZ,Merchandise exports (current US$),3413000000
MOZ,Commercial service exports (current US$),722620716
MMR,Imports of goods and services (% of GDP),
MMR,Exports of goods and services (% of GDP),
MMR,Trade (% of GDP),
MMR,Merchandise exports (current US$),11429000000
MMR,Commercial service exports (current US$),3690915817
NAM,Imports of goods and services (% of GDP),61.86818338
NAM,Exports of goods and services (% of GDP),35.37084841
NAM,Trade (% of GDP),97.23903179
NAM,Merchandise exports (current US$),4067000000
NAM,Commercial service exports (current US$),785455079.6
NRU,Imports of goods and services (% of GDP),128.4313725
NRU,Exports of goods and services (% of GDP),71.56862745
NRU,Trade (% of GDP),200
NRU,Merchandise exports (current US$),11000000
NRU,Commercial service exports (current US$),22338668.18
NPL,Imports of goods and services (% of GDP),36.4511418
NPL,Exports of goods and services (% of GDP),10.21458859
NPL,Trade (% of GDP),46.66573039
NPL,Merchandise exports (current US$),721000000
NPL,Commercial service exports (current US$),1060298853
NLD,Imports of goods and services (% of GDP),75.15767933
NLD,Exports of goods and services (% of GDP),82.65889671
NLD,Trade (% of GDP),157.816576
NLD,Merchandise exports (current US$),5.70E+11
NLD,Commercial service exports (current US$),1.68E+11
NCL,Imports of goods and services (% of GDP),41.97762981
NCL,Exports of goods and services (% of GDP),18.06916629
NCL,Trade (% of GDP),60.0467961
NCL,Merchandise exports (current US$),1219000000
NCL,Commercial service exports (current US$),365918889.3
NZL,Imports of goods and services (% of GDP),26.93571185
NZL,Exports of goods and services (% of GDP),27.95256013
NZL,Trade (% of GDP),54.88827198
NZL,Merchandise exports (current US$),34355000000
NZL,Commercial service exports (current US$),14992159670
NIC,Imports of goods and services (% of GDP),58.11013296
NIC,Exports of goods and services (% of GDP),40.08346107
NIC,Trade (% of GDP),98.19359403
NIC,Merchandise exports (current US$),4839000000
NIC,Commercial service exports (current US$),1158200000
NER,Imports of goods and services (% of GDP),30.45906041
NER,Exports of goods and services (% of GDP),14.26836996
NER,Trade (% of GDP),44.72743037
NER,Merchandise exports (current US$),1087000000
NER,Commercial service exports (current US$),218697787
NGA,Imports of goods and services (% of GDP),
NGA,Exports of goods and services (% of GDP),
NGA,Trade (% of GDP),
NGA,Merchandise exports (current US$),50216000000
NGA,Commercial service exports (current US$),2673338418
MKD,Imports of goods and services (% of GDP),64.96044397
MKD,Exports of goods and services (% of GDP),48.73799991
MKD,Trade (% of GDP),113.6984439
MKD,Merchandise exports (current US$),4536000000
MKD,Commercial service exports (current US$),1524445538
MNP,Imports of goods and services (% of GDP),69.78021978
MNP,Exports of goods and services (% of GDP),52.96703297
MNP,Trade (% of GDP),122.7472527
MNP,Merchandise exports (current US$),2000000
MNP,Commercial service exports (current US$),
NOR,Imports of goods and services (% of GDP),31.85666781
NOR,Exports of goods and services (% of GDP),38.57518873
NOR,Trade (% of GDP),70.43185654
NOR,Merchandise exports (current US$),1.04E+11
NOR,Commercial service exports (current US$),41605497171
OMN,Imports of goods and services (% of GDP),46.7243584
OMN,Exports of goods and services (% of GDP),49.65123925
OMN,Trade (% of GDP),96.37559765
OMN,Merchandise exports (current US$),31927000000
OMN,Commercial service exports (current US$),3263755407
PAK,Imports of goods and services (% of GDP),16.71361359
PAK,Exports of goods and services (% of GDP),9.974571017
PAK,Trade (% of GDP),26.6881846
PAK,Merchandise exports (current US$),22089000000
PAK,Commercial service exports (current US$),3459000000
PLW,Imports of goods and services (% of GDP),75.80890726
PLW,Exports of goods and services (% of GDP),51.58831867
PLW,Trade (% of GDP),127.3972259
PLW,Merchandise exports (current US$),6000000
PLW,Commercial service exports (current US$),161940447
PAN,Imports of goods and services (% of GDP),52.25154275
PAN,Exports of goods and services (% of GDP),47.68486166
PAN,Trade (% of GDP),99.93640441
PAN,Merchandise exports (current US$),11348000000
PAN,Commercial service exports (current US$),11758000000
PNG,Imports of goods and services (% of GDP),
PNG,Exports of goods and services (% of GDP),
PNG,Trade (% of GDP),
PNG,Merchandise exports (current US$),8453000000
PNG,Commercial service exports (current US$),108803966.5
PRY,Imports of goods and services (% of GDP),32.18040683
PRY,Exports of goods and services (% of GDP),34.7346587
PRY,Trade (% of GDP),66.91506553
PRY,Merchandise exports (current US$),8357000000
PRY,Commercial service exports (current US$),1716193642
PER,Imports of goods and services (% of GDP),23.8754434
PER,Exports of goods and services (% of GDP),21.28732529
PER,Trade (% of GDP),45.16276869
PER,Merchandise exports (current US$),33545000000
PER,Commercial service exports (current US$),5606170636
PHL,Imports of goods and services (% of GDP),31.93353487
PHL,Exports of goods and services (% of GDP),27.20805724
PHL,Trade (% of GDP),59.1415921
PHL,Merchandise exports (current US$),58827000000
PHL,Commercial service exports (current US$),29047366367
POL,Imports of goods and services (% of GDP),45.36848245
POL,Exports of goods and services (% of GDP),47.4503064
POL,Trade (% of GDP),92.81878885
POL,Merchandise exports (current US$),1.99E+11
POL,Commercial service exports (current US$),44077000000
PRT,Imports of goods and services (% of GDP),39.87577894
PRT,Exports of goods and services (% of GDP),40.61511545
PRT,Trade (% of GDP),80.49089438
PRT,Merchandise exports (current US$),55047000000
PRT,Commercial service exports (current US$),27481382208
PRI,Imports of goods and services (% of GDP),41.68569922
PRI,Exports of goods and services (% of GDP),67.19493497
PRI,Trade (% of GDP),108.8806342
PRI,Merchandise exports (current US$),
PRI,Commercial service exports (current US$),
QAT,Imports of goods and services (% of GDP),36.64612641
QAT,Exports of goods and services (% of GDP),57.06147777
QAT,Trade (% of GDP),93.70760417
QAT,Merchandise exports (current US$),77971000000
QAT,Commercial service exports (current US$),14102747253
ROU,Imports of goods and services (% of GDP),42.17167904
ROU,Exports of goods and services (% of GDP),41.34948374
ROU,Trade (% of GDP),83.52116278
ROU,Merchandise exports (current US$),60595000000
ROU,Commercial service exports (current US$),18978701624
RUS,Imports of goods and services (% of GDP),20.65595987
RUS,Exports of goods and services (% of GDP),28.70338944
RUS,Trade (% of GDP),49.35934931
RUS,Merchandise exports (current US$),3.41E+11
RUS,Commercial service exports (current US$),50809020000
RWA,Imports of goods and services (% of GDP),31.97019271
RWA,Exports of goods and services (% of GDP),13.23179477
RWA,Trade (% of GDP),45.20198748
RWA,Merchandise exports (current US$),682000000
RWA,Commercial service exports (current US$),516109181.8
WSM,Imports of goods and services (% of GDP),47.49340828
WSM,Exports of goods and services (% of GDP),27.14094673
WSM,Trade (% of GDP),74.63435501
WSM,Merchandise exports (current US$),59000000
WSM,Commercial service exports (current US$),197630002.7
SMR,Imports of goods and services (% of GDP),146.9113325
SMR,Exports of goods and services (% of GDP),174.452681
SMR,Trade (% of GDP),321.3640134
SMR,Merchandise exports (current US$),
SMR,Commercial service exports (current US$),
STP,Imports of goods and services (% of GDP),
STP,Exports of goods and services (% of GDP),
STP,Trade (% of GDP),
STP,Merchandise exports (current US$),11000000
STP,Commercial service exports (current US$),77439300.43
SAU,Imports of goods and services (% of GDP),36.93995697
SAU,Exports of goods and services (% of GDP),32.5639318
SAU,Trade (% of GDP),69.50388876
SAU,Merchandise exports (current US$),2.04E+11
SAU,Commercial service exports (current US$),13807426722
SEN,Imports of goods and services (% of GDP),35.43314317
SEN,Exports of goods and services (% of GDP),22.6771945
SEN,Trade (% of GDP),58.11033767
SEN,Merchandise exports (current US$),2612000000
SEN,Commercial service exports (current US$),1035662525
SRB,Imports of goods and services (% of GDP),52.21852485
SRB,Exports of goods and services (% of GDP),45.1772418
SRB,Trade (% of GDP),97.39576666
SRB,Merchandise exports (current US$),13376000000
SRB,Commercial service exports (current US$),4728687149
SYC,Imports of goods and services (% of GDP),97.39038421
SYC,Exports of goods and services (% of GDP),90.08462826
SYC,Trade (% of GDP),187.4750125
SYC,Merchandise exports (current US$),415000000
SYC,Commercial service exports (current US$),839204241.2
SLE,Imports of goods and services (% of GDP),47.06847669
SLE,Exports of goods and services (% of GDP),19.21088067
SLE,Trade (% of GDP),66.27935736
SLE,Merchandise exports (current US$),512000000
SLE,Commercial service exports (current US$),198478144
SGP,Imports of goods and services (% of GDP),151.0867904
SGP,Exports of goods and services (% of GDP),178.3846085
SGP,Trade (% of GDP),329.4713989
SGP,Merchandise exports (current US$),3.52E+11
SGP,Commercial service exports (current US$),1.53E+11
SXM,Imports of goods and services (% of GDP),
SXM,Exports of goods and services (% of GDP),
SXM,Trade (% of GDP),
SXM,Merchandise exports (current US$),129000000
SXM,Commercial service exports (current US$),1083843575
SVK,Imports of goods and services (% of GDP),88.58755769
SVK,Exports of goods and services (% of GDP),91.60047429
SVK,Trade (% of GDP),180.188032
SVK,Merchandise exports (current US$),75146000000
SVK,Commercial service exports (current US$),8087497265
SVN,Imports of goods and services (% of GDP),69.14717844
SVN,Exports of goods and services (% of GDP),77.14867826
SVN,Trade (% of GDP),146.2958567
SVN,Merchandise exports (current US$),31929000000
SVN,Commercial service exports (current US$),6580230628
SLB,Imports of goods and services (% of GDP),47.827893
SLB,Exports of goods and services (% of GDP),40.36052049
SLB,Trade (% of GDP),88.1884135
SLB,Merchandise exports (current US$),400000000
SLB,Commercial service exports (current US$),99323520.9
SOM,Imports of goods and services (% of GDP),57.08353679
SOM,Exports of goods and services (% of GDP),14.86001323
SOM,Trade (% of GDP),71.94355002
SOM,Merchandise exports (current US$),
SOM,Commercial service exports (current US$),
ZAF,Imports of goods and services (% of GDP),29.01303773
ZAF,Exports of goods and services (% of GDP),27.71363841
ZAF,Trade (% of GDP),56.72667614
ZAF,Merchandise exports (current US$),81002000000
ZAF,Commercial service exports (current US$),15167419678
SSD,Imports of goods and services (% of GDP),28.8999999
SSD,Exports of goods and services (% of GDP),36.65134928
SSD,Trade (% of GDP),65.55134918
SSD,Merchandise exports (current US$),
SSD,Commercial service exports (current US$),90110000
ESP,Imports of goods and services (% of GDP),30.57234448
ESP,Exports of goods and services (% of GDP),33.61086067
ESP,Trade (% of GDP),64.18320514
ESP,Merchandise exports (current US$),2.82E+11
ESP,Commercial service exports (current US$),1.21E+11
LKA,Imports of goods and services (% of GDP),27.02458699
LKA,Exports of goods and services (% of GDP),19.89338382
LKA,Trade (% of GDP),46.91797081
LKA,Merchandise exports (current US$),10547000000
LKA,Commercial service exports (current US$),6365963005
KNA,Imports of goods and services (% of GDP),
KNA,Exports of goods and services (% of GDP),
KNA,Trade (% of GDP),
KNA,Merchandise exports (current US$),55000000
KNA,Commercial service exports (current US$),387044189.6
LCA,Imports of goods and services (% of GDP),
LCA,Exports of goods and services (% of GDP),
LCA,Trade (% of GDP),
LCA,Merchandise exports (current US$),180000000
LCA,Commercial service exports (current US$),864874043.9
MAF,Imports of goods and services (% of GDP),
MAF,Exports of goods and services (% of GDP),
MAF,Trade (% of GDP),
MAF,Merchandise exports (current US$),129000000
MAF,Commercial service exports (current US$),
VCT,Imports of goods and services (% of GDP),
VCT,Exports of goods and services (% of GDP),
VCT,Trade (% of GDP),
VCT,Merchandise exports (current US$),46000000
VCT,Commercial service exports (current US$),236132849.5
SDN,Imports of goods and services (% of GDP),11.95536193
SDN,Exports of goods and services (% of GDP),6.422910929
SDN,Trade (% of GDP),18.37827285
SDN,Merchandise exports (current US$),3169000000
SDN,Commercial service exports (current US$),1599278800
SUR,Imports of goods and services (% of GDP),
SUR,Exports of goods and services (% of GDP),
SUR,Trade (% of GDP),
SUR,Merchandise exports (current US$),1652000000
SUR,Commercial service exports (current US$),167367890.5
SWE,Imports of goods and services (% of GDP),39.95704699
SWE,Exports of goods and services (% of GDP),43.76676752
SWE,Trade (% of GDP),83.72381451
SWE,Merchandise exports (current US$),1.40E+11
SWE,Commercial service exports (current US$),70822458269
CHE,Imports of goods and services (% of GDP),53.30952646
CHE,Exports of goods and services (% of GDP),63.82895575
CHE,Trade (% of GDP),117.1384822
CHE,Merchandise exports (current US$),2.90E+11
CHE,Commercial service exports (current US$),1.23E+11
SYR,Imports of goods and services (% of GDP),36.79510316
SYR,Exports of goods and services (% of GDP),14.29110466
SYR,Trade (% of GDP),51.08620782
SYR,Merchandise exports (current US$),2357000000
SYR,Commercial service exports (current US$),
TJK,Imports of goods and services (% of GDP),40.13511764
TJK,Exports of goods and services (% of GDP),9.80269843
TJK,Trade (% of GDP),49.93781607
TJK,Merchandise exports (current US$),891000000
TJK,Commercial service exports (current US$),252390533
TZA,Imports of goods and services (% of GDP),23.65276932
TZA,Exports of goods and services (% of GDP),17.10491155
TZA,Trade (% of GDP),40.75768088
TZA,Merchandise exports (current US$),4834000000
TZA,Commercial service exports (current US$),3373808379
THA,Imports of goods and services (% of GDP),57.20297188
THA,Exports of goods and services (% of GDP),67.63669027
THA,Trade (% of GDP),124.8396622
THA,Merchandise exports (current US$),2.14E+11
THA,Commercial service exports (current US$),57718329023
TGO,Imports of goods and services (% of GDP),42.22401337
TGO,Exports of goods and services (% of GDP),25.97607505
TGO,Trade (% of GDP),68.20008842
TGO,Merchandise exports (current US$),1011000000
TGO,Commercial service exports (current US$),442863399.5
TON,Imports of goods and services (% of GDP),64.49108682
TON,Exports of goods and services (% of GDP),16.96031829
TON,Trade (% of GDP),81.4514051
TON,Merchandise exports (current US$),18000000
TON,Commercial service exports (current US$),46617396.18
TTO,Imports of goods and services (% of GDP),
TTO,Exports of goods and services (% of GDP),
TTO,Trade (% of GDP),
TTO,Merchandise exports (current US$),10748000000
TTO,Commercial service exports (current US$),1113689723
TUN,Imports of goods and services (% of GDP),48.8486919
TUN,Exports of goods and services (% of GDP),38.39983876
TUN,Trade (% of GDP),87.24853066
TUN,Merchandise exports (current US$),14073000000
TUN,Commercial service exports (current US$),3124195501
TUR,Imports of goods and services (% of GDP),26.55726626
TUR,Exports of goods and services (% of GDP),24.53127734
TUR,Trade (% of GDP),51.0885436
TUR,Merchandise exports (current US$),1.51E+11
TUR,Commercial service exports (current US$),61094000000
TKM,Imports of goods and services (% of GDP),45.62446628
TKM,Exports of goods and services (% of GDP),35.67546429
TKM,Trade (% of GDP),81.29993057
TKM,Merchandise exports (current US$),10000000000
TKM,Commercial service exports (current US$),
TCA,Imports of goods and services (% of GDP),
TCA,Exports of goods and services (% of GDP),
TCA,Trade (% of GDP),
TCA,Merchandise exports (current US$),5000000
TCA,Commercial service exports (current US$),649916368.7
TUV,Imports of goods and services (% of GDP),
TUV,Exports of goods and services (% of GDP),
TUV,Trade (% of GDP),
TUV,Merchandise exports (current US$),0
TUV,Commercial service exports (current US$),6399119.007
UGA,Imports of goods and services (% of GDP),24.81197302
UGA,Exports of goods and services (% of GDP),12.87732531
UGA,Trade (% of GDP),37.68929833
UGA,Merchandise exports (current US$),2267000000
UGA,Commercial service exports (current US$),1805592917
UKR,Imports of goods and services (% of GDP),55.20893679
UKR,Exports of goods and services (% of GDP),52.59767951
UKR,Trade (% of GDP),107.8066163
UKR,Merchandise exports (current US$),38127000000
UKR,Commercial service exports (current US$),12202000000
ARE,Imports of goods and services (% of GDP),71.91304863
ARE,Exports of goods and services (% of GDP),97.56318807
ARE,Trade (% of GDP),169.4762367
ARE,Merchandise exports (current US$),3.00E+11
ARE,Commercial service exports (current US$),
GBR,Imports of goods and services (% of GDP),29.35759902
GBR,Exports of goods and services (% of GDP),27.84595067
GBR,Trade (% of GDP),57.20354969
GBR,Merchandise exports (current US$),4.66E+11
GBR,Commercial service exports (current US$),3.81E+11
USA,Imports of goods and services (% of GDP),15.2770653
USA,Exports of goods and services (% of GDP),12.41114863
USA,Trade (% of GDP),27.68821393
USA,Merchandise exports (current US$),1.50E+12
USA,Commercial service exports (current US$),7.49E+11
URY,Imports of goods and services (% of GDP),22.85038956
URY,Exports of goods and services (% of GDP),22.47785125
URY,Trade (% of GDP),45.32824081
URY,Merchandise exports (current US$),7688000000
URY,Commercial service exports (current US$),5116189083
UZB,Imports of goods and services (% of GDP),16.98421731
UZB,Exports of goods and services (% of GDP),13.76629135
UZB,Trade (% of GDP),30.75050866
UZB,Merchandise exports (current US$),9443000000
UZB,Commercial service exports (current US$),2336840629
VUT,Imports of goods and services (% of GDP),67.01357068
VUT,Exports of goods and services (% of GDP),46.03361914
VUT,Trade (% of GDP),113.0471898
VUT,Merchandise exports (current US$),39000000
VUT,Commercial service exports (current US$),257505894.6
VEN,Imports of goods and services (% of GDP),
VEN,Exports of goods and services (% of GDP),
VEN,Trade (% of GDP),
VEN,Merchandise exports (current US$),37309000000
VEN,Commercial service exports (current US$),1533000000
VNM,Imports of goods and services (% of GDP),71.99137627
VNM,Exports of goods and services (% of GDP),72.92285161
VNM,Trade (% of GDP),144.9142279
VNM,Merchandise exports (current US$),1.62E+11
VNM,Commercial service exports (current US$),11250000000
VIR,Imports of goods and services (% of GDP),43.13404313
VIR,Exports of goods and services (% of GDP),41.63254163
VIR,Trade (% of GDP),84.76658477
VIR,Merchandise exports (current US$),
VIR,Commercial service exports (current US$),
PSE,Imports of goods and services (% of GDP),54.71858807
PSE,Exports of goods and services (% of GDP),16.06238012
PSE,Trade (% of GDP),70.78096819
PSE,Merchandise exports (current US$),
PSE,Commercial service exports (current US$),529710034.8
YEM,Imports of goods and services (% of GDP),22.58596008
YEM,Exports of goods and services (% of GDP),9.051577546
YEM,Trade (% of GDP),31.63753763
YEM,Merchandise exports (current US$),510000000
YEM,Commercial service exports (current US$),262405370.1
ZMB,Imports of goods and services (% of GDP),42.72689101
ZMB,Exports of goods and services (% of GDP),37.1385258
ZMB,Trade (% of GDP),79.86541681
ZMB,Merchandise exports (current US$),6607000000
ZMB,Commercial service exports (current US$),861512074.1
ZWE,Imports of goods and services (% of GDP),37.58863532
ZWE,Exports of goods and services (% of GDP),19.16017579
ZWE,Trade (% of GDP),56.74881111
ZWE,Merchandise exports (current US$),3248000000
ZWE,Commercial service exports (current US$),340688113.6